CB Constituent ID,CB Constituent Type,CB First Name,CB Last Name,CB Company Name,CB Created At,CB Email 1 (Standardized),CB Email 2 (Standardized),CB Title,CB Tags,CB Background Information,CB Lifetime Donation Amount,CB Most Recent Donation Date
5966,Person,Jared,Burns,"",2024-04-24 00:00,frazierjanice@gmaill.com,,Dr.,"[Pitch Perfect, Major Donor]",Job Title: Administrative Assistant; Marital Status: Single,$13100.00,2024-02-14
1089,Person,Erica,Simmons,"",2016-04-16 00:00,samantha08@hotmail.com,,Mrs.,"[Major Donor, Summer 2016, NULL]",Job Title: Business Analyst; Marital Status: Single,$1550.00,2018-10-07
3953,Person,Kelly,Jimenez,"",2018-02-16 00:00,greg46@hotmail.com,,"","[Pitch Perfect, Major Donor, NULL]",Marital Status: Single,$10750.00,2024-05-04
9655,Person,maria,KELLEY,"",2018-06-30 00:00,christopher66@gmail.com,,Ms.,"[Major Donor, Pitch Perfect]",Marital Status: Unknown,$200.00,2021-11-26
2014,Person,Amanda,Kelley,"",2016-11-10 00:00,walkerlindsey@lewis.com,,Mr.,"[Pitch Perfect, Board Member, NULL, NULL, NULL]",Marital Status: Unknown,$650.00,2022-03-01
8161,Person,Joshua,Gutierrez,"",2021-09-19 00:00,dwilliams@hotmail.com,,Mr.,"[Pitch Perfect, Summer 2016, Summer 2016, Major Donor, Board Member]",Job Title: Project Manager; Marital Status: Unknown,$1550.00,2022-08-20
9153,Person,Erica,House,"",2015-02-03 00:00,deantravis@russo-nelson.org,,Mrs.,"[Board Member, Board Member, NULL, NULL]",Marital Status: Married,$100.00,2019-12-28
6801,Person,Troy,Perez,"",2016-10-03 00:00,thomaswelch@adams-castillo.com,,"","[Pitch Perfect, Summer 2016, Pitch Perfect, NULL, NULL]",Job Title: Marketing Manager; Marital Status: Unknown,$1100.00,2018-07-26
2481,Person,James,Trujillo,"",2024-06-23 00:00,carrie32@forbes.com,,"","[Pitch Perfect, NULL]",Job Title: Administrative Assistant; Marital Status: Single,$10600.00,2022-01-05
9139,Person,nicole,CHASE,"",2022-09-28 00:00,victoria52@galvan.com,,Ms.,"[Major Donor, Major Donor, Summer 2016, Summer 2016, NULL]",Marital Status: Married,$750.00,2021-04-09
2737,Person,Matthew,Nicholson,"",2015-05-28 00:00,,,Dr.,"[Summer 2016, Major Donor, NULL]",Marital Status: Unknown,$6000.00,2023-08-08
6586,Person,Margaret,Moore,"",2016-08-01 00:00,rubenwelch@yahoo.com,,"",[NULL],Marital Status: Unknown,$3500.00,2022-12-01
1348,Person,Robert & Emily,Patton,"",2016-12-12 00:00,thomassamuel@gmaill.com,,"",[NULL],Marital Status: Single,$3600.00,2023-03-18
3141,Person,jennifer,JUAREZ,"",2022-01-30 00:00,xhubbard@garcia.biz,,"",[NULL],Marital Status: Married,$10150.00,2022-12-08
6339,Person,Allen,Valentine,"",2022-10-15 00:00,mckaylinda@hotmail.com,,"","[Major Donor, NULL]",Job Title: Operations Manager; Marital Status: Single,$1500.00,2022-07-24
4348,Company,,,Ramos PLC,2015-11-27 00:00,cmarshall@hobbs.net,,"","[Summer 2016, Major Donor, Summer 2016, Major Donor, NULL]",Marital Status: Unknown,$4000.00,2020-08-20
8309,Company,,,Stephenson Ltd,2021-07-20 00:00,,,"","[Board Member, Board Member, NULL, NULL]",Job Title: Nurse Practitioner; Marital Status: Unknown,$150.00,2020-11-10
7358,Person,Amanda,James,"",2016-05-11 00:00,,,"","[Summer 2016, Pitch Perfect, NULL]",Job Title: Graphic Designer; Marital Status: Unknown,$1000.00,2022-01-24
9827,Person,Cynthia,Vasquez,"",2021-09-12 00:00,ryan82@yahoo.com,,Ms.,"[Board Member, Major Donor]",Job Title: Business Analyst; Marital Status: Married,$1250.00,2024-12-26
6366,Person,julie,mcgrath,"",2020-09-13 00:00,bjones@hotmail.com,,Mrs.,"[Major Donor, NULL, NULL, NULL]",Job Title: Sales Executive; Marital Status: Unknown,$6000.00,2023-03-27
5418,Person,nicholas,johnson,"",2015-12-21 00:00,wustephanie@hotmail.com,,Dr.,"[Major Donor, Board Member, Summer 2016, Summer 2016]",Marital Status: Married,$11000.00,2021-03-21
1459,Person,Katherine,Jones,"",2022-08-06 00:00,millersherry@gmaill.com,,"","[Major Donor, Pitch Perfect, Major Donor, NULL, NULL]",Job Title: Software Engineer; Marital Status: Single,$25000.00,2021-04-28
7103,Company,,,"Cross, Hutchinson and Vega",2023-07-30 00:00,michellelane@cox.com,,"","[Board Member, Pitch Perfect, Summer 2016, NULL, NULL]",Job Title: Accountant; Marital Status: Single,$1500.00,2024-08-15
4651,Person,Julie,Davis,"",2015-03-12 00:00,,,Mrs.,"[Pitch Perfect, NULL, NULL, NULL]",Job Title: Sales Executive; Marital Status: Single,$8100.00,2022-01-07
2136,Person,Regina,Webb,"",2020-12-19 00:00,brittney12@lee-williamson.org,,Dr.,[NULL],Job Title: Marketing Manager; Marital Status: Married,$200.00,2024-05-15
1550,Person,Laura,Harrison,"",2017-12-07 12:34,harrypatterson@yahoo.com,,"","[Major Donor, Board Member, NULL]",Marital Status: Unknown,$20100.00,2024-12-28
3434,Person,Anne,Martinez,"",2018-05-23 00:00,alejandro66@patrick-curry.biz,,Dr.,"[Major Donor, Major Donor, Major Donor, Board Member, Major Donor]",Job Title: Financial Analyst; Marital Status: Single,$1500.00,2021-08-02
9859,Person,james,BURNS,"",2015-06-24 00:00,michael43@hall-lee.com,,Dr.,"[Major Donor, Pitch Perfect]",Job Title: Administrative Assistant; Marital Status: Unknown,$3050.00,2019-12-12
3514,Person,Kevin,Howard,"",2015-11-07 00:00,christopher25@rodriguez.com,,Mrs.,"[Summer 2016, Major Donor, Major Donor, Pitch Perfect]",Marital Status: Unknown,$10500.00,2024-07-06
8265,Person,Patricia,Curtis,"",2019-09-24 00:00,lkelly@butler-bradford.biz,,Dr.,"[Major Donor, Pitch Perfect, Major Donor, NULL]",Job Title: Project Manager; Marital Status: Married,$8000.00,2019-07-06
